name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
Hanuman Garhi,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/hanuman-garhi,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Fort-like hill temple dedicated to Hanuman.,,,,90,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Kanak Bhawan,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/kanak-bhawan,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Ornate temple associated with Rama and Sita.,,,,75,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Ram ki Paidi,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/ram-ki-paidi,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Series of ghats along the Saryu River.,,,,90,,,ghat|riverfront,,,,,,,https://www.uptourism.gov.in/
Saryu River Aarti,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/saryu-river-aarti,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Evening river worship ceremony.,,,,60,,,religious|river,,,,,,,https://www.uptourism.gov.in/
Nageshwarnath Temple,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/nageshwarnath-temple,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Historic Shiva temple near the river.,,,,60,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Dashrath Mahal,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/dashrath-mahal,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Palace-temple associated with King Dasharatha.,,,,60,,,palace|religious,,,,,,,https://www.uptourism.gov.in/
Guptar Ghat,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/guptar-ghat,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,River ghat associated with Rama traditions.,,,,75,,,ghat|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Mani Parvat,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/mani-parvat,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Ancient mound and pilgrimage viewpoint.,,,,45,,,heritage|viewpoint,,,,,,,https://www.uptourism.gov.in/
Tulsi Smarak Bhawan,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/tulsi-smarak-bhawan,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Cultural museum and research centre dedicated to Tulsidas.,,,,90,,,museum|literature,,,,,,,https://www.uptourism.gov.in/
Ram Katha Park,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/ram-katha-park,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Large cultural-event and recreation area.,,,,90,,,park|culture,,,,,,,https://www.uptourism.gov.in/
Bharat Kund,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/bharat-kund,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Pilgrimage site associated with Bharat.,,,,60,,,religious|water,,,,,,,https://www.uptourism.gov.in/
Faizabad,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district,India,,domestic,true,true,Historic Nawabi city adjoining Ayodhya.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Gulab Bari,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad/gulab-bari,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad,India,,domestic,true,true,Tomb and rose garden of Nawab Shuja-ud-Daula.,,,,90,,,tomb|garden,,,,,,,https://www.uptourism.gov.in/
Bahu Begum ka Maqbara,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad/bahu-begum-ka-maqbara,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad,India,,domestic,true,true,Large mausoleum of Bahu Begum.,,,,90,,,tomb|architecture,,,,,,,https://www.uptourism.gov.in/
Guptar Ghat Riverfront,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad/guptar-ghat-riverfront,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/faizabad,India,,domestic,true,true,Historic Saryu riverfront.,,,,90,,,riverfront|heritage,,,,,,,https://www.uptourism.gov.in/
Barabanki,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/barabanki,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district,India,,domestic,true,true,"Awadh district centre with shrines, wetlands and rural heritage.",,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Dewa Sharif,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/dewa-sharif,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district,India,,domestic,true,true,Major Sufi pilgrimage town.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Dewa Sharif Dargah,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/dewa-sharif/dewa-sharif-dargah,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/dewa-sharif,India,,domestic,true,true,Shrine of Haji Waris Ali Shah and annual fair centre.,,,,90,,,dargah|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Parijaat Tree Kintur,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/barabanki/parijaat-tree-kintur,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district/barabanki,India,,domestic,true,true,Ancient baobab tree associated with local mythology.,,,,60,,,tree|mythology,,,,,,,https://www.uptourism.gov.in/
Sitapur,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/sitapur,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district,India,,domestic,true,true,Central Uttar Pradesh city and gateway to Naimisharanya.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Naimisharanya,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district,India,,domestic,true,true,Major Hindu pilgrimage forest associated with Puranic traditions.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Chakra Tirth,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya/chakra-tirth,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya,India,,domestic,true,true,Sacred circular water tank.,,,,90,,,religious|water,,,,,,,https://www.uptourism.gov.in/
Lalita Devi Temple,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya/lalita-devi-temple,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya,India,,domestic,true,true,Shakti temple and pilgrimage site.,,,,90,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Vyas Gaddi,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya/vyas-gaddi,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya,India,,domestic,true,true,Site associated with sage Vyasa.,,,,90,,,religious|heritage,,,,,,,https://www.uptourism.gov.in/
Dadhichi Kund,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya/dadhichi-kund,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district/naimisharanya,India,,domestic,true,true,Sacred waterbody associated with sage Dadhichi.,,,,90,,,religious|water,,,,,,,https://www.uptourism.gov.in/
Agra,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,city,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district,India,,domestic,true,true,"Mughal heritage city on the Yamuna River, home to the Taj Mahal and major monuments.",27.1767,78.0081,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Taj Mahal,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/taj-mahal,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,UNESCO-listed marble mausoleum built by Shah Jahan.,,,,180,,,world_heritage|mausoleum,,,,,,,https://www.uptourism.gov.in/
Agra Fort,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/agra-fort,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,UNESCO-listed Mughal fort and palace complex.,,,,150,,,fort|world_heritage,,,,,,,https://www.uptourism.gov.in/
Itmad-ud-Daulah's Tomb,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/itmad-ud-daulah-s-tomb,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Marble Mughal tomb often called the Baby Taj.,,,,90,,,tomb|architecture,,,,,,,https://www.uptourism.gov.in/
Mehtab Bagh,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/mehtab-bagh,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Riverside garden with Taj Mahal views.,,,,90,,,garden|viewpoint,,,,,,,https://www.uptourism.gov.in/
Akbar's Tomb Sikandra,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/akbar-s-tomb-sikandra,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Mausoleum of Mughal emperor Akbar.,,,,120,,,tomb|heritage,,,,,,,https://www.uptourism.gov.in/
Mariam's Tomb,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/mariam-s-tomb,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Mughal tomb of Mariam-uz-Zamani.,,,,60,,,tomb|heritage,,,,,,,https://www.uptourism.gov.in/
Jama Masjid Agra,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/jama-masjid-agra,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Historic mosque opposite Agra Fort station.,,,,60,,,mosque|heritage,,,,,,,https://www.uptourism.gov.in/
Chini ka Rauza,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/chini-ka-rauza,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Persian-style glazed-tile tomb.,,,,60,,,tomb|architecture,,,,,,,https://www.uptourism.gov.in/
Ram Bagh Agra,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/ram-bagh-agra,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Early Mughal garden on the Yamuna.,,,,75,,,garden|heritage,,,,,,,https://www.uptourism.gov.in/
Taj Nature Walk,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/taj-nature-walk,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Nature and viewing trail near the Taj Mahal.,,,,90,,,walking|viewpoint,,,,,,,https://www.uptourism.gov.in/
Kinari Bazaar,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/kinari-bazaar,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Old-city market near Jama Masjid.,,,,120,,,market|shopping,,,,,,,https://www.uptourism.gov.in/
Sadar Bazaar Agra,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra/sadar-bazaar-agra,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/agra,India,,domestic,true,true,Popular market and food district.,,,,120,,,market|food,,,,,,,https://www.uptourism.gov.in/
Fatehpur Sikri,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,city,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district,India,,domestic,true,true,UNESCO-listed former Mughal capital built by Akbar.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Buland Darwaza,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/buland-darwaza,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Monumental gateway of Fatehpur Sikri.,,,,90,,,architecture|heritage,,,,,,,https://www.uptourism.gov.in/
Jama Masjid Fatehpur Sikri,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/jama-masjid-fatehpur-sikri,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Large Mughal mosque.,,,,90,,,mosque|world_heritage,,,,,,,https://www.uptourism.gov.in/
Tomb of Salim Chishti,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/tomb-of-salim-chishti,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Marble Sufi shrine in the mosque courtyard.,,,,90,,,dargah|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Panch Mahal,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/panch-mahal,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Five-storey columned pavilion.,,,,90,,,palace|architecture,,,,,,,https://www.uptourism.gov.in/
Diwan-i-Khas Fatehpur Sikri,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/diwan-i-khas-fatehpur-sikri,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Hall of private audience with central pillar.,,,,90,,,palace|heritage,,,,,,,https://www.uptourism.gov.in/
Jodha Bai Palace,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri/jodha-bai-palace,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district/fatehpur-sikri,India,,domestic,true,true,Large residential palace within the complex.,,,,90,,,palace|heritage,,,,,,,https://www.uptourism.gov.in/
Mathura,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Sacred birthplace city of Krishna on the Yamuna River.,27.4924,77.6737,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Shri Krishna Janmabhoomi,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/shri-krishna-janmabhoomi,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Major Krishna pilgrimage temple complex.,,,,120,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Dwarkadhish Temple Mathura,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/dwarkadhish-temple-mathura,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Historic Krishna temple in the old city.,,,,75,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Vishram Ghat,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/vishram-ghat,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Principal Yamuna ghat and evening aarti site.,,,,90,,,ghat|river,,,,,,,https://www.uptourism.gov.in/
Government Museum Mathura,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/government-museum-mathura,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Museum renowned for Mathura-school sculpture.,,,,120,,,museum|archaeology,,,,,,,https://www.uptourism.gov.in/
Kans Qila,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/kans-qila,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Historic fort remains on the Yamuna.,,,,60,,,fort|heritage,,,,,,,https://www.uptourism.gov.in/
Potra Kund,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura/potra-kund,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/mathura,India,,domestic,true,true,Sacred tank near Krishna Janmabhoomi.,,,,45,,,religious|water,,,,,,,https://www.uptourism.gov.in/
Vrindavan,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Krishna pilgrimage town known for temples and devotional culture.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Banke Bihari Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/banke-bihari-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Major Krishna temple and pilgrimage site.,,,,90,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Prem Mandir,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/prem-mandir,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Large illuminated temple complex.,,,,120,,,temple|architecture,,,,,,,https://www.uptourism.gov.in/
ISKCON Vrindavan,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/iskcon-vrindavan,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Krishna-Balaram temple and international pilgrimage centre.,,,,90,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Radha Raman Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/radha-raman-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Historic temple housing a self-manifested deity.,,,,60,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Radha Vallabh Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/radha-vallabh-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Historic Krishna temple.,,,,60,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Madan Mohan Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/madan-mohan-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Old hilltop temple near the Yamuna.,,,,60,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Keshi Ghat,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/keshi-ghat,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Historic Yamuna ghat.,,,,75,,,ghat|river,,,,,,,https://www.uptourism.gov.in/
Seva Kunj and Nidhivan,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan/seva-kunj-and-nidhivan,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/vrindavan,India,,domestic,true,true,Sacred garden area linked to Krishna traditions.,,,,75,,,religious|garden,,,,,,,https://www.uptourism.gov.in/
Govardhan,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Pilgrimage town centred on Govardhan Hill.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Govardhan Parikrama,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan/govardhan-parikrama,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan,India,,domestic,true,true,Pilgrimage walking circuit around Govardhan Hill.,,,,300,,,pilgrimage|walking,,,,,,,https://www.uptourism.gov.in/
Mansi Ganga,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan/mansi-ganga,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan,India,,domestic,true,true,Sacred lake in Govardhan town.,,,,75,,,lake|religious,,,,,,,https://www.uptourism.gov.in/
Kusum Sarovar,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan/kusum-sarovar,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan,India,,domestic,true,true,Ornate sandstone reservoir and cenotaph complex.,,,,90,,,lake|heritage,,,,,,,https://www.uptourism.gov.in/
Radha Kund,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan/radha-kund,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/govardhan,India,,domestic,true,true,Sacred twin pond pilgrimage site.,,,,75,,,religious|water,,,,,,,https://www.uptourism.gov.in/
Barsana,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Pilgrimage town associated with Radha.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Radha Rani Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana/radha-rani-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana,India,,domestic,true,true,Hilltop temple dedicated to Radha.,,,,90,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Rangeeli Mahal,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana/rangeeli-mahal,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana,India,,domestic,true,true,Devotional and cultural complex.,,,,60,,,religious|architecture,,,,,,,https://www.uptourism.gov.in/
Lathmar Holi Grounds,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana/lathmar-holi-grounds,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/barsana,India,,domestic,true,true,Festival locations associated with Barsana Holi.,,,,60,,,festival|culture,,,,,,,https://www.uptourism.gov.in/
Nandgaon,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/nandgaon,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Krishna pilgrimage village associated with Nanda.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Nand Bhawan Temple,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/nandgaon/nand-bhawan-temple,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/nandgaon,India,,domestic,true,true,Hilltop temple associated with Krishna's foster family.,,,,75,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Gokul,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul,city,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,India,,domestic,true,true,Yamuna-side pilgrimage town associated with Krishna's childhood.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Raman Reti,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul/raman-reti,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul,India,,domestic,true,true,Sacred sandy ground and ashram area.,,,,90,,,religious|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Chaurasi Khamba,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul/chaurasi-khamba,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul,India,,domestic,true,true,Historic temple structure with many pillars.,,,,90,,,temple|heritage,,,,,,,https://www.uptourism.gov.in/
Brahmand Ghat,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul/brahmand-ghat,landmark,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district/gokul,India,,domestic,true,true,Yamuna ghat associated with Krishna traditions.,,,,90,,,ghat|religious,,,,,,,https://www.uptourism.gov.in/
Varanasi,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,city,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district,India,,domestic,true,true,"Ancient sacred city on the Ganga, known for ghats, temples, music, crafts and learning.",25.3176,82.9739,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Kashi Vishwanath Temple,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/kashi-vishwanath-temple,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Major Shiva temple and pilgrimage site.,,,,120,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
Dashashwamedh Ghat,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/dashashwamedh-ghat,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Main Ganga aarti and riverfront ghat.,,,,90,,,ghat|religious,,,,,,,https://www.uptourism.gov.in/
Assi Ghat,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/assi-ghat,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,"Southern ghat known for aarti, culture and cafés.",,,,90,,,ghat|riverfront,,,,,,,https://www.uptourism.gov.in/
Manikarnika Ghat,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/manikarnika-ghat,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Historic cremation ghat.,,,,60,,,ghat|religious,,,,,,,https://www.uptourism.gov.in/
Harishchandra Ghat,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/harishchandra-ghat,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Ancient cremation ghat.,,,,60,,,ghat|religious,,,,,,,https://www.uptourism.gov.in/
Ganga Aarti Varanasi,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/ganga-aarti-varanasi,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Evening ceremonial worship on the riverfront.,,,,75,,,religious|culture,,,,,,,https://www.uptourism.gov.in/
Ramnagar Fort,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi/ramnagar-fort,landmark,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district/varanasi,India,,domestic,true,true,Fort-palace and museum across the Ganga.,,,,120,,,fort|museum,,,,,,,https://www.uptourism.gov.in/
